dataset,model,seed,initial_lr,reference_lr,reference_step1_ratio,projected_step1_ratio,threshold_kappa10,margin_over_threshold,exceeds_threshold
dbpedia_14,medium-4,42,0.03,1.0,5.105076965398684,0.15315230896196053,0.0003472303038485647,441.0683839068201,True
dbpedia_14,medium-4,42,0.01,1.0,5.105076965398684,0.05105076965398684,0.0003472303038485647,147.0227946356067,True
dbpedia_14,medium-4,42,0.001,1.0,5.105076965398684,0.005105076965398684,0.0003472303038485647,14.702279463560668,True
dbpedia_14,medium-4,42,0.0001,1.0,5.105076965398684,0.0005105076965398684,0.0003472303038485647,1.470227946356067,True
dbpedia_14,medium-4,456,1.0,1.0,5.117841022745161,5.117841022745161,0.0003472303038485647,14739.039093135061,True
dbpedia_14,medium-4,456,0.3,1.0,5.117841022745161,1.5353523068235482,0.0003472303038485647,4421.711727940518,True
dbpedia_14,medium-4,456,0.1,1.0,5.117841022745161,0.5117841022745161,0.0003472303038485647,1473.9039093135061,True
dbpedia_14,medium-4,456,0.03,1.0,5.117841022745161,0.1535352306823548,0.0003472303038485647,442.17117279405176,True
dbpedia_14,medium-4,456,0.01,1.0,5.117841022745161,0.05117841022745161,0.0003472303038485647,147.3903909313506,True
dbpedia_14,medium-4,456,0.001,1.0,5.117841022745161,0.0051178410227451605,0.0003472303038485647,14.73903909313506,True
dbpedia_14,medium-4,456,0.0001,1.0,5.117841022745161,0.000511784102274516,0.0003472303038485647,1.473903909313506,True
